"X1","X2","X3"
206,821,822
306,918,919
316,928,929
306,918,919
287,900,NA
171,787,788
329,940,941
NA,NA,NA
324,935,936
338,949,950
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
296,908,909
296,908,909
299,911,912
300,912,913
293,905,906
292,904,905
286,899,900
287,900,NA
294,906,907
323,934,935
329,940,941
314,926,927
317,929,930
327,938,939
330,941,942
321,933,NA
309,921,922
312,924,925
316,928,929
324,935,936
306,918,919
320,932,NA
331,942,943
339,950,951
334,945,946
333,944,945
341,952,953
333,944,945
334,945,946
337,948,949
334,945,946
340,951,952
341,952,953
290,902,903
328,939,940
327,938,939
317,929,930
NA,NA,NA
NA,NA,NA
