Information,Hegira Date 1,Date Range 1,Date Range 2,Hegira Date 2,Date Range 1,Date Range 2
"Abbasid AR dirham, al-Muktadir, Antakiya [3](1/2)?1AH ",311,923,924,321,933,
"'Abbasid AR dirham, al-Muqtadir, 3xxAH broken ",300,912,913,399,1008,1009
"'Abbasid AR dirham, al-Muqtadir, al-Bas[rah] 31xAH ",310,922,923,319,931,932
"'Abbasid AR dirham, Al-Muqtadir, al-Rafiqa 308AH ",308,920,921,,,
"'Abbasid AR dirham, al-Muqtadir, broken ",,,,,,
"'Abbasid AR dirham, al-Muqtadir, Hamadan 31(5/8)AH ",315,927,928,318,930,931
"'Abbasid AR dirham, al-Muqtadir, Madinat as-Salam 313AH ",313,925,926,,,
"'Abbasid AR dirham, al-Muqtadir, Madinat as-Salam xx8AH, fraction ",,,,,,
"'Abbasid AR dirham, al-Muqtadir, Surra man ra'a 308AH ",308,920,921,,,
"'Abbasid AR dirham, al-Mu`tadid, Samarqand 279AH ",279,892,893,,,
"'Abbasid AR dirham, al-Qahir, Surra man Ra`a 321AH ",321,933,,,,
"'Abbasid AR dirham, al-Radi, 323AH ",323,934,935,,,
"'Abbasid AR dirham, al-Radi, Madinat al-Salam 327AH ",327,938,939,,,
"'Abbasid AR dirham, al-Radi, Madinat al-Salam 327AH ",327,938,939,,,
"'Abbasid AR dirham, al-Radi, Madinat al-Salam 329AH ",329,940,941,,,
"'Abbasid AR dirham, ar-Radi, Irbil 32[6]AH ",326,937,938,,,
"Abbasid AR dirham, 32xAH, fraction ",32,652,653,,,
"Abbasid AR dirham, al-Mustakfi+Abu-l-Wafa (Tuzun), Nisibin? 333AH ",333,944,945,,,
"Abbasid AR dirham, al-Muttaqi, Basra (329-333)AH, half ",329,940,941,333,944,945
"Abbasid, al-Mustakfi+Abu-l-Hasan Muhammad, 3[34AH], fraction ",334,945,946,,,
"Abbasid, AR dirham, al-Mutamid, Barda? ",,,,,,
"Surra man ra`a, Abbasid AR dirham, half ",,,,,,
,,,,,,
"Buwayhid AR dirham, Mu'izz al-Dawla Ahmad b. Buwaih, Madinat al-Salam 348AH ",348,959,960,,,
"Buwayhid AR dirham, Rukn ad-dawla+Adud ad-dawla ",,,,,,
"Buwayhid AR dirham, Rukn al-Dawla Abu 'Ali Buwayh, al-Basra 343AH ",343,954,955,,,
"Buwayhid AR dirham, Rukn al-Dawla Abu 'Ali Buwayh?, 341AH ",341,952,953,,,
"Buwayhid, Muizz ad-dawla+Rukn ad-dawla, Tustar min al-Ahwaz [34]6AH, fraction",346,957,958,,,
,,,,,,
