"X1","X2","X3"
NA,NA,NA
293,905,906
299,911,912
301,913,914
NA,NA,NA
NA,NA,NA
285,898,899
NA,NA,NA
296,908,909
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
281,894,895
294,906,907
295,907,908
301,913,914
NA,NA,NA
NA,NA,NA
282,895,896
295,907,908
301,913,914
301,913,914
NA,NA,NA
293,905,906
295,907,908
301,913,914
300,912,913
296,908,909
NA,NA,NA
NA,NA,NA
NA,NA,NA
291,903,904
299,911,912
NA,NA,NA
287,900,NA
300,912,913
306,918,919
NA,NA,NA
302,914,915
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
299,911,912
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
289,901,902
NA,NA,NA
NA,NA,NA
296,908,909
297,909,910
NA,NA,NA
298,910,911
299,911,912
298,910,911
NA,NA,NA
NA,NA,NA
301,913,914
NA,NA,NA
297,909,910
