"X1","X2","X3"
290,902,903
297,909,910
289,901,902
304,916,917
277,890,891
299,911,912
294,906,907
294,906,907
NA,NA,NA
NA,NA,NA
289,901,902
30,650,651
NA,NA,NA
NA,NA,NA
246,860,861
301,913,914
NA,NA,NA
NA,NA,NA
NA,NA,NA
292,904,905
NA,NA,NA
NA,NA,NA
286,899,900
NA,NA,NA
191,806,807
286,899,900
277,890,891
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
308,920,921
4,625,626
287,900,NA
301,913,914
299,911,912
298,910,911
NA,NA,NA
318,930,931
NA,NA,NA
NA,NA,NA
304,916,917
NA,NA,NA
298,910,911
293,905,906
294,906,907
302,914,915
289,901,902
304,916,917
308,920,921
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
299,911,912
NA,NA,NA
303,915,916
290,902,903
NA,NA,NA
286,899,900
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
297,909,910
NA,NA,NA
290,902,903
NA,NA,NA
301,913,914
299,911,912
27,647,648
NA,NA,NA
NA,NA,NA
197,812,813
274,887,888
30,650,651
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
293,905,906
NA,NA,NA
30,650,651
24,644,645
283,896,897
NA,NA,NA
NA,NA,NA
167,783,784
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
