"X1","X2","X3"
152,769,770
167,783,784
196,811,812
201,816,817
246,860,861
248,862,863
277,890,891
265,878,879
277,890,891
275,888,889
230,844,845
293,905,906
283,896,897
286,899,900
286,899,900
286,899,900
287,900,NA
289,901,902
289,901,902
290,902,903
290,902,903
290,902,903
290,902,903
292,904,905
294,906,907
298,910,911
298,910,911
299,911,912
299,911,912
299,911,912
297,909,910
297,909,910
297,909,910
299,911,912
301,913,914
301,913,914
301,913,914
303,915,916
308,920,921
308,920,921
303,915,916
302,914,915
302,914,915
304,916,917
309,921,922
311,923,924
302,914,915
303,915,916
304,916,917
304,916,917
308,920,921
253,867,868
250,864,865
293,905,906
294,906,907
290,902,903
306,918,919
308,920,921
315,927,928
315,927,928
320,932,NA
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
323,934,935
331,942,943
331,942,943
331,942,943
331,942,943
330,941,942
330,941,942
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
