167-169,,,Hegira Dates,Date Range 1,Date Range 2
"???????? – ????? 100 ??????-?????, ????? 160 ???.",100160,100,100,718,719
????‘?? ??? ?????,#VALUE!,#VALUE!,0,NA,NA
"??-???, 281 ?. ?. [K caps. IV, ? 1]",2811,281,281,894,895
"??-???, 282 ?. ?. [K caps. IV, ? 2]",2822,282,282,895,896
"??-???, 283 ?. ?. [K caps. IV, ? 3]",2833,283,283,896,897
"??-???, 284 ?. ?. [K caps. IV, ? 4]",2844,284,284,897,898
"??-???, 285 ?. ?. [K caps. IV, ? 5]",2855,285,285,898,899
"??-???, 286 ?. ?. [K caps. IV, ? 6]",2866,286,286,899,900
"??-???, 287 ?. ?. [K caps. IV, ? 7]",2877,287,287,900,NA
"??-???, 288 ?. ?. [K caps. IV, ? 8]",2888,288,288,900,901
"??-???, 289 ?. ?. [K caps. IV, ? 9]",2899,289,289,901,902
"??-???, 290 ?. ?. [K caps. IV, ? 10]",29010,290,290,902,903
"??-???, 291 ?. ?. [K caps. IV, ? 11]",29111,291,291,903,904
"??-???, 292 ?. ?. [K caps. IV, ? 12]",29212,292,292,904,905
"??-???, 293 ?. ?. [K caps. IV, ? 13 = F Sam. ? 45]",2931345,293,293,905,906
"??-???, 294 ?. ?. [K caps. IV, ? 14 = F Sam. ? 56]",2941456,294,294,906,907
"??-???, 295 ?. ?. [K caps. IV, ? 15 = F Sam. ? 65]",2951565,295,295,907,908
"??-???, 296 ?. ?. – ?????? ???????? ?. ?. [K caps. IV, ? 16]",29616,296,296,908,909
"??-???, 308 ?. ?. – ?????? ???????? ?. ?. [K caps. VI, ? 10 = F Sam. ? 69]",3081069,308,308,920,921
"?????????, 281 ?. ?. [K caps. II, ? 1]",2811,281,281,894,895
"?????????, 283 ?. ?. [K caps. II, ? 1]",2831,283,283,896,897
"?????????, 284 ?. ?. [K caps. II, ? 1]",2841,284,284,897,898
"?????????, 285 ?. ?. [K caps. II, ? 1]",2851,285,285,898,899
"?????????, 286 ?. ?. [K caps. II, ? 1]",2861,286,286,899,900
"?????????, 287 ?. ?. [K caps. II, ? 1]",2871,287,287,900,NA
"?????????, 288 ?. ?. [K caps. II, ? 1]",2881,288,288,900,901
"?????????, 289 ?. ?. [K caps. II, ? 1]",2891,289,289,901,902
"?????????, 290 ?. ?. [K caps. II, ? 2]",2902,290,290,902,903
"?????????, 291 ?. ?. [K caps. II, ? 2 = F Sam. ? 34]",291234,291,291,903,904
"?????????, 292 ?. ?. [K caps. II, ? 2]",2922,292,292,904,905
???. ?. ???????,#VALUE!,#VALUE!,0,NA,NA
"?????????, 293 ?. ?. [K caps. II, ? 2 = F Sam. ? 46]",293246,293,293,905,906
"?????????, 294 ?. ?. [K caps. II, ? 3 = F Sam. ? 57]",294357,294,294,906,907
"?????????, 295 ?. ?. [K caps. II, ? 4 = F Sam. ? 66]",295466,295,295,907,908
"????????, 292 ?. ?. [K caps. I, ? 1]",2921,292,292,904,905
