"X1","X2","X3"
100,718,719
NA,NA,NA
281,894,895
282,895,896
283,896,897
284,897,898
285,898,899
286,899,900
287,900,NA
288,900,901
289,901,902
290,902,903
291,903,904
292,904,905
293,905,906
294,906,907
295,907,908
296,908,909
308,920,921
281,894,895
283,896,897
284,897,898
285,898,899
286,899,900
287,900,NA
288,900,901
289,901,902
290,902,903
291,903,904
292,904,905
NA,NA,NA
293,905,906
294,906,907
295,907,908
292,904,905
293,905,906
294,906,907
295,907,908
292,904,905
293,905,906
294,906,907
NA,NA,NA
293,905,906
294,906,907
292,904,905
293,905,906
281,894,895
293,905,906
294,906,907
294,906,907
289,901,902
352,963,964
NA,NA,NA
297,909,910
298,910,911
299,911,912
300,912,913
301,913,914
302,914,915
296,908,909
297,909,910
298,910,911
299,911,912
300,912,913
301,913,914
296,908,909
297,909,910
298,910,911
299,911,912
300,912,913
301,913,914
302,914,915
299,911,912
300,912,913
NA,NA,NA
298,910,911
298,910,911
294,906,907
NA,NA,NA
301,913,914
302,914,915
303,915,916
304,916,917
305,917,918
306,918,919
307,919,920
308,920,921
309,921,922
311,923,924
312,924,925
313,925,926
319,931,932
299,911,912
300,912,913
301,913,914
302,914,915
303,915,916
304,916,917
305,917,918
306,918,919
307,919,920
308,920,921
309,921,922
310,922,923
311,923,924
313,925,926
315,927,928
302,914,915
NA,NA,NA
170,786,787
1,622,623
129,746,747
15,636,637
NA,NA,NA
154,770,771
159,775,776
160,776,777
184,800,801
189,804,805
197,812,813
247,861,862
248,862,863
249,863,864
251,865,866
251,865,866
264,877,878
265,878,879
269,882,883
277,890,891
1,622,623
162,778,779
NA,NA,NA
22,642,643
NA,NA,NA
280,893,894
282,895,896
283,896,897
284,897,898
286,899,900
287,900,NA
288,900,901
289,901,902
290,902,903
291,903,904
292,904,905
293,905,906
284,897,898
286,899,900
287,900,NA
288,900,901
290,902,903
291,903,904
292,904,905
293,905,906
293,905,906
293,905,906
NA,NA,NA
172,788,789
52,672,NA
105,723,724
293,905,906
NA,NA,NA
281,894,895
282,895,896
285,898,899
286,899,900
287,900,NA
289,901,902
290,902,903
291,903,904
291,903,904
292,904,905
293,905,906
294,906,907
295,907,908
285,898,899
287,900,NA
293,905,906
294,906,907
292,904,905
21,641,642
172,788,789
NA,NA,NA
231,845,846
295,907,908
296,908,909
298,910,911
299,911,912
300,912,913
301,913,914
295,907,908
296,908,909
297,909,910
299,911,912
298,910,911
299,911,912
299,911,912
127,744,745
302,914,915
308,920,921
309,921,922
310,922,923
311,923,924
312,924,925
315,927,928
316,928,929
317,929,930
318,930,931
319,931,932
320,932,NA
323,934,935
324,935,936
2,623,624
280,893,894
301,913,914
302,914,915
303,915,916
304,916,917
306,918,919
307,919,920
308,920,921
309,921,922
310,922,923
311,923,924
312,924,925
313,925,926
314,926,927
173,789,790
NA,NA,NA
315,927,928
316,928,929
317,929,930
318,930,931
311,923,924
320,932,NA
321,933,NA
322,933,934
323,934,935
324,935,936
323,934,935
303,915,916
304,916,917
305,917,918
308,920,921
31,651,652
302,914,915
315,927,928
316,928,929
301,913,914
306,918,919
311,923,924
300,912,913
309,921,922
318,930,931
