reg.nr,Dy0sti,Myntort och årtal,AD,gram,kondition,"""fynd""","""fynd""",Hegira Date 1,X,Date Range 1,Date range 2,2 Date Range 1,2 Date Range 2
1,PhSs,AHM 38 (=Hamadhan 627),627.5,3.03,8n,0,181,38627,0,0,0,0,0
2,PhASUm,GD 63 AH (=Jayy 682?83),682.5,1.97,12n,L3 3SV,0,6368283,0,0,0,0,0
3,PhASUm,mint? 75 (694?95),694.5,0.84,f 7n,1:NVlag4,0,7569495,0,0,0,0,0
4,PhASUm,BBA 77 (=court mint 696?97),696.5,2.23,e 36n,1:oreg.,0,7769697,0,0,0,0,0
5,PhSs??,mint? date? (500?704),500.9,0.77,f 1n,1:oreg,0,500,704,0,0,0,0
6,PhSs??,mint? date? (500?704),500.9,0.36,f,1:NVlag4,0,500,704,0,0,0,0
7,PhSs??,mint? date? (500?704),500.9,0.23,f 1n,1:oreg,0,500,704,0,0,0,0
8,PhSs??,mint? date? (500?704),500.9,0.2,f 7n,1:oreg,0,500,704,0,0,0,0
9,PhSs??,mint? date? (500?704),500.9,0.13,f 7n,1:oreg,0,500,704,0,0,0,0
10,PhSs??,mint? date? (500?704),500.9,0.08,f,1:NVlag4,0,500,704,0,0,0,0
0,Um,[Ar]dashir Khurra [80?99],699.9,0.41,f,1:oreg.,0,80,99,699,700,0,0
0,Um,Darabjird [9]5,0,1.49,f .,1:oreg.,0,95,0,713,714,0,0
0,Um,Dimashq [81],0,0.95,f,1:oreg.,0,81,0,700,701,0,0
0,Um,[Dimashq] [86?89],0,1.1,f,1:x,0,86,89,705,0,0,0
0,Um,Dimashq 96,0,0.83,f,1:NVlag4,0,96,0,714,715,0,0
0,Um,[Dimashq] 9[7],0,1.5,f 7n,1:NVlag4,0,97,0,715,716,0,0
0,Um,Dimashq [100],0,0.66,f 5n,1:NVlag4,0,100,0,718,719,0,0
0,Um,[Dimashq] [96?106],0,0.56,f,1:NVlag4,0,96,106,714,715,0,0
0,Um,Dimashq [79?132],0,0.32,f,1:NVlag4,0,79,132,698,699,0,0
0,Um,Dimashq [79?132],0,0.19,fh,1:oreg.,0,79,132,698,699,0,0
0,Um,Is[takhr] [79?99],0,0.69,f,1:oreg.,0,79,99,698,699,0,0
0,Um,alJazira [126?32],0,0.49,f,0,181,126,132,743,744,0,0
0,Um,Junday Sabur 90,0,2.1,f,1:NVlag4,0,90,0,708,709,0,0
0,Um,Kirman 103,0,2.24,h 14n,0,181,103,0,721,722,0,0
0,Um,Marw 95,0,1.67,3h,0,181,95,0,713,714,0,0
0,Um,[Mar]w 99,0,1.67,f 18n,1:NVlag4,0,99,0,717,718,0,0
0,Um,Marw [110],0,0.36,f,0,181,110,0,728,729,0,0
0,Um,alMubaraka [117?21],0,1.54,f 1n,0,173,117,121,735,736,0,0
0,Um,Sabur 93,0,2.56,h 3n,1:oreg.,0,93,0,711,712,0,0
0,Um,Sabur 95,0,2.59,h 17n,1:oreg.,0,95,0,713,714,0,0
0,Um,Sabur [9]6,0,0.99,f 1n,1:NVlag4,0,96,0,714,715,0,0
0,Um,Sabur [79?99],0,0.65,f 3n,1:NVlag4,0,79,99,698,699,0,0
0,Um,[Siji]stan [1]28,0,0.84,f,1:oreg.,0,128,0,745,746,0,0
0,Um,Surraq 93,0,2.73,0,1:x,0,93,0,711,712,0,0
0,Um,alTaymar[a] [90?98],0,1.09,f,0,181,90,98,708,709,0,0
0,Um,Wasit 86,0,1.11,f 2n.,1:oreg.,0,86,0,705,0,0,0
0,Um,Wasit 95,0,2.06,ch 5n,0,181,95,0,713,714,0,0
0,Um,W[asit] [86?96],0,1.04,f 2h5n,1:NVlag4,0,86,96,705,0,0,0
