reg.nr,Dynasti,Myntort och årtal,AD,gram,kondition,"""fynd""","""fynd""",Hegria Date,Date Range 1,Date Range 2,Hegria Date 2,Date range 1,Date Range 2,Hegria Date 3,Date Range 1,Date Range 2,Hegria Date 4,Date Range 1,Date Range 2
0,Nd,Hedeby ,825,0.81,h,,296,0,,,0,,,0,,,0,,
0,Nd,Hedeby ,825,0.35,f,,240,0,,,0,,,0,,,0,,
0,Nd,Hedeby ,825,0.34,f,,378,0,,,0,,,0,,,0,,
0,Nd,Hedeby ,825,0.27,f,,131,0,,,0,,,0,,,0,,
0,By,Bysans ,830.9,1.15,f,,130,0,,,0,,,0,,,0,,
0,PhSs,[G]D/[R]D date? (1?48),531.9,1.01,f 16n,,380,1,622,623,48,668,669,0,,,0,,
1388,PhSs,GD 9 (=Isfahan 539),539,3.38,r 5n,Visby,122,539,,,0,,,0,,,0,,
0,PhSs,RD 21 (=alRayy 551),551,3.61,16n,,413,551,,,0,,,0,,,0,,
0,PhSs,RD 44 (=alRayy 574),574,3.91,15n,,66,574,,,0,,,0,,,0,,
0,PhSs,BYSh date? (1?39),590.9,0.48,f 2h,,330,1,622,623,39,659,660,0,,,0,,
0,PhSs,BYSh date? (1?39),590.9,0.43,f 7n,,193,1,622,623,39,659,660,0,,,0,,
0,PhSs,NYHC/WYHC 5(=Nihawand),594,2.19,c 6n,,130,5,626,627,0,,,0,,,0,,
0,PhSs,NAR 8 (=Narmashir 597),597,2,ec21n,,327,597,,,0,,,0,,,0,,
0,PhSs,ST 8 (=Istakhr 597),597,2.21,c 2n.,,182,597,,,0,,,0,,,0,,
0,PhSs,NYH/WYH 9 (=Nihawand),598,3.96,1n,,258,9,630,631,0,,,0,,,0,,
0,PhSs,mint? 15 (=604),604,1.18,f 3n,,341,15,636,637,0,,,0,,,0,,
0,PhSs,mint? 15/25 (=604/614),604.9,1.55,f 23n,,182,15,636,637,25,645,646,0,,,0,,
0,PhSs,mint? 23/33 (=612/622),612.9,1.65,f 12n,,297,23,643,644,0,,,0,,,0,,
0,PhSs,mint? 25 (=614),614,1.91,f 6n,,312,25,645,646,0,,,0,,,0,,
0,PhSs,DA 27/37 (=Darabjird 616/26),616.9,1.54,f 8n,,103,27,647,648,37,657,658,0,,,0,,
0,PhSs,RAM 31 (=Ramhurmuz 620),620,2.77,c 18n,,170,31,651,652,0,,,0,,,0,,
0,PhSs,Sh[Y] 32 (=Shirayan 621),621,2.53,f 12n,,21,32,652,653,0,,,0,,,0,,
0,PhSs,mint? 33 (=622),622,1.45,f 26n,,330,33,653,654,0,,,0,,,0,,
0,PhSs,RYW 36 (=Rev?Ardashir 625),625,3.79,8n,,315,36,656,657,0,,,0,,,0,,
1389,PhSs,AYR 37 (=Susa 626),626,3.58,2h 6n,Visby,314,37,657,658,0,,,0,,,0,,
0,PhSs,BN 37 (=Basra 626),626,2.64,5n.,,317,37,657,658,0,,,0,,,0,,
0,PhSs,PR 37 (=626),626,2.3,4h 6n.,,23,37,657,658,0,,,0,,,0,,
0,PhSs,mint? 39 (=628),628,0.69,f 21n,,378,39,659,660,0,,,0,,,0,,
1390,PhASUm,ST 54 (=Istakhr 673?74),673.5,2.62,11n c,Visby,187,54,673,674,0,,,0,,,0,,
0,PhASUm,BCRA 69 AH,688.5,2.66,10n,,380,69,688,689,0,,,0,,,0,,
0,PhASUm,ej klar,700,1.03,fr 4n,,200,0,,,0,,,0,,,0,,
0,PhSs??,mint? (c500?700 AD),500.9,0.64,h 7n,,252,0,,,0,,,0,,,0,,
0,PhSs??,mint? (c500?700 AD),500.9,0.45,f 4n,,200,0,,,0,,,0,,,0,,
0,PhSs??,mint? date? (590?704),590.9,0.51,f 9n,,82,0,,,0,,,0,,,0,,
0,PhSs??,mint? date? (590?704),590.9,0.34,f 6n,,148,0,,,0,,,0,,,0,,
0,PhSs??,mint? date? (590?704),590.9,0.22,f,,414,0,,,0,,,0,,,0,,
